,State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,2008_Div Rate,2009_Div Rate,2010_Div Rate,2011_Div Rate,2012_Div Rate,2013_Div Rate,2014_Div Rate,2015_Div Rate,2016_Div Rate,2017_Div Rate,2018_Div Rate,2008_unemployment,2009_unemployment,2010_unemployment,2011_unemployment,2012_unemployment,2013_unemployment,2014_unemployment,2015_unemployment,2016_unemployment,2017_unemployment,2018_unemployment,2019_unemployment,2008_studentLoan,2009_studentLoan,2010_studentLoan,2011_studentLoan,2012_studentLoan,2013_studentLoan,2014_studentLoan,2015_studentLoan,2016_studentLoan,2017_studentLoan,2018_studentLoan,2008_totalLoan,2009_totalLoan,2010_totalLoan,2011_totalLoan,2012_totalLoan,2013_totalLoan,2014_totalLoan,2015_totalLoan,2016_totalLoan,2017_totalLoan,2018_totalLoan,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
27,NC,182419.45,173986.06,166381.11,158529.71,154408.42,155094.55,158913.15,161927.15,167188.15,174604.25,184608.71,193065.42,173105.95,167357.17,178284.82,165778.63,170336.35,174680.44,177461.74,185765.7,191298.15,200076.16,215811.15,227340.66,8090.85,7143.02,7058.83,6808.0,7713.67,9538.05,10040.75,10910.38,13055.02,14986.92,15164.49,16074.38,0.05,0.06,0.08,0.07,0.07,0.06,0.06,0.04,0.03,0.02,0.02,0.01,3.8,3.8,3.8,3.7,3.7,3.43,3.4,3.08,3.25,3.11,3.08,6.13,10.58,10.82,10.27,9.29,7.96,6.32,5.72,5.08,4.48,3.89,4.03,2140,2480,2800,3050,3420,3750,4010,4280,4650,4950,5240,44720,43650,42530,43340,42950,41540,41720,41880,42840,44780,45840,50728.0,49595.0,52504.0,55616.0,52196.0,53774.0,56870.0,60474.0,59374.0,59619.0,57679
28,ND,134917.45,134971.88,134141.33,131628.87,137667.47,152007.81,155455.86,156547.14,161123.08,161621.09,163702.76,166723.48,158636.0,160435.0,159603.33,166367.59,192223.03,205441.67,220154.55,235670.37,233064.58,232470.83,232097.22,231134.58,497.4,492.17,495.25,455.08,576.67,579.42,577.42,533.33,567.08,600.33,606.75,598.56,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,2.9,2.8,3.1,2.7,3.1,2.94,2.83,2.84,2.59,2.49,2.56,3.19,4.1,3.78,3.47,3.07,2.92,2.67,2.79,3.09,2.67,2.63,2.4,3260,3600,3870,4150,4670,4770,4870,5040,4910,5240,5510,30210,30280,30380,32610,34980,36320,38040,39510,40660,42230,44140,54744.0,51434.0,51200.0,47043.0,47333.0,45369.0,49875.0,52008.0,55431.0,56550.0,67575
29,NE,134447.0,133258.08,132069.1,128367.34,127995.44,130834.79,132531.23,134705.21,137373.73,142928.25,151398.25,158770.78,136374.81,133968.98,133083.61,134277.18,137831.95,144413.94,146436.49,154448.41,165584.78,170639.64,181409.35,194931.36,1521.7,1619.5,1416.75,1412.5,1582.42,1731.92,1771.83,1976.25,2104.33,2192.5,2238.25,2120.28,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,3.3,3.4,3.6,3.5,3.4,3.28,3.05,3.18,3.14,3.02,2.95,3.34,4.64,4.63,4.39,4.02,3.77,3.27,2.99,3.07,2.88,2.79,2.98,3090,3290,3750,3890,4200,4300,4510,4710,4850,5000,5080,34610,34300,32010,35840,36360,35170,35620,36820,37720,39400,40310,66176.0,64131.0,66633.0,65880.0,67819.0,71322.0,73397.0,75675.0,76260.0,74801.0,61864
30,NH,257838.88,240007.57,233480.33,229944.47,223986.51,230441.83,237634.44,244674.07,252459.55,264382.57,279610.3,289440.77,250793.33,221176.65,227383.33,221909.17,229158.76,233935.26,231655.3,240888.33,243677.85,264679.7,278960.06,294025.42,985.2,1060.75,1078.42,1056.25,997.83,1282.17,1322.08,1481.08,1668.92,2008.75,1880.08,1838.71,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.01,3.9,3.7,3.8,3.8,3.6,3.73,3.54,3.33,3.38,3.11,3.09,3.87,6.23,5.83,5.41,5.48,5.08,4.28,3.36,2.87,2.73,2.53,2.47,3460,3730,3980,4370,4630,4860,5000,5260,5580,5900,5860,56160,54280,52150,53330,52970,51880,51690,52270,53510,54570,55650,65306.0,64777.0,62968.0,62338.0,66692.0,61782.0,65243.0,68357.0,68468.0,72997.0,81346
31,NJ,420846.99,391781.09,380716.98,361595.33,349549.49,354848.03,366802.37,368908.9,370147.75,376508.54,389347.73,394467.31,359220.3,328069.67,326962.15,305550.61,286684.91,296716.98,312051.65,316478.09,327699.09,334873.84,347126.24,359175.05,6544.2,5941.46,5820.83,5474.33,5954.42,7446.13,7439.92,9027.62,10249.85,12233.15,13070.76,12422.24,0.02,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,3.0,2.7,3.0,2.9,2.8,2.79,2.78,2.82,2.67,2.6,2.75,5.36,9.03,9.53,9.34,9.33,8.24,6.74,5.78,4.98,4.62,4.14,3.59,2950,3300,3680,3980,4330,4710,4970,5200,5530,5720,6090,63620,62190,60790,61700,60600,57880,57600,55800,56420,57830,58590,42102.0,43542.0,45134.0,41982.0,43424.0,42127.0,46686.0,45119.0,48451.0,47855.0,74176
32,NM,216786.43,203819.22,199047.55,185492.53,181806.54,181872.02,181819.09,177093.51,179636.44,184753.33,189075.22,197807.64,218761.82,206981.06,204165.91,187377.21,182695.42,184309.6,184841.37,185074.49,195443.4,196105.54,207110.9,219729.2,1440.2,1323.67,1429.5,1277.58,1564.17,1744.75,1741.0,1920.55,2129.58,2457.5,2578.42,2334.59,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.0,0.0,4.1,3.9,4.0,3.3,3.0,3.44,3.55,3.29,3.16,3.04,2.99,4.48,7.51,8.1,7.52,7.12,6.94,6.68,6.51,6.62,5.85,4.94,4.95,2190,2440,2720,3010,3360,3490,3550,3620,3760,3810,4070,41910,40200,39060,39530,39470,37670,37920,37990,38250,38680,39650,50461.0,50216.0,49781.0,50636.0,47680.0,53843.0,54310.0,58005.0,61437.0,62447.0,48283
33,NV,321440.87,246297.4,223295.24,203158.48,201760.42,214414.44,236529.62,248118.78,264579.04,284029.57,314971.39,330680.68,220221.6,151910.37,136541.41,125678.48,136774.31,169676.31,194464.0,214772.5,228564.52,258868.96,295045.37,310817.29,1974.3,3158.98,2866.33,3445.08,3585.96,3505.83,3484.75,3836.2,6421.9,5391.2,5408.67,5171.05,0.22,0.31,0.25,0.27,0.15,0.04,0.05,0.04,0.03,0.02,0.01,0.02,6.4,6.6,5.9,5.6,5.5,5.12,5.33,4.64,4.29,4.46,4.38,6.71,11.3,13.5,13.02,11.19,9.63,7.92,6.76,5.73,5.05,4.56,4.12,1860,2080,2290,2460,2850,2960,3180,3430,3620,3790,4170,73720,65340,57640,53370,50090,45270,45180,46260,47670,50320,52770,42930.0,41906.0,43830.0,45206.0,41553.0,41208.0,46784.0,50797.0,53764.0,50343.0,67274
34,NY,278298.56,268552.77,263891.13,259738.74,255804.06,260552.21,271670.38,280099.19,286061.26,295582.16,308107.51,314999.34,273470.08,259575.56,258536.33,253600.81,279393.14,307826.2,310570.91,318342.93,336656.71,351428.25,370872.38,383284.86,8510.3,7650.03,8661.28,8142.94,8835.5,10356.58,10761.17,12189.53,13840.25,14714.92,14300.17,13340.14,0.01,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,2.8,2.6,2.9,2.9,2.9,2.74,2.84,2.71,2.68,2.68,2.78,5.46,8.32,8.59,8.3,8.52,7.71,6.33,5.26,4.85,4.68,4.11,3.95,3450,3820,4200,4440,4770,5060,5190,5330,5550,5810,6090,49530,48710,47720,48990,48900,47360,47220,46930,47760,49030,49680,49631.0,50075.0,51006.0,56361.0,55766.0,52888.0,60730.0,57415.0,60184.0,59886.0,53369
35,OH,133636.93,127641.6,124746.58,119969.76,117288.57,117750.38,119734.69,123055.85,126759.54,133836.77,140916.21,147630.47,145106.06,136363.89,138183.79,130781.53,130371.75,134248.09,138321.94,143415.56,148631.39,152014.15,161589.48,169543.22,10638.17,9474.33,9125.73,9258.52,10085.74,11928.4,12116.25,13982.81,15344.38,16352.92,16680.4,17749.48,0.05,0.06,0.06,0.06,0.05,0.07,0.05,0.04,0.04,0.03,0.03,0.02,3.3,3.3,3.4,3.4,3.4,3.29,3.17,3.07,3.03,2.92,2.91,6.48,10.29,10.24,8.85,7.41,7.43,5.8,4.91,5.04,4.97,4.58,4.25,3060,3490,3940,4220,4640,5000,5320,5510,5780,5980,6220,37940,36620,35290,36280,35970,34760,35160,35740,36100,37160,37990,46934.0,45879.0,45886.0,44648.0,44375.0,46398.0,49644.0,53301.0,53985.0,59768.0,66505
36,OK,91234.2,91641.63,92305.83,90900.61,91799.83,94012.01,97059.88,99712.92,102466.15,105080.47,108765.57,112540.4,124284.62,124705.6,129104.09,127293.26,125343.64,127317.03,133354.85,139672.88,145645.08,151214.09,154358.47,164780.94,3191.2,2851.58,2572.67,2697.17,3224.83,3418.17,3605.01,3677.33,4123.17,4486.17,4602.15,4676.47,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,5.3,4.8,5.2,5.2,4.8,4.5,4.54,4.37,4.37,4.07,3.77,3.77,6.38,6.78,5.88,5.27,5.28,4.51,4.39,4.81,4.24,3.38,3.25,2400,2700,2940,3210,3580,3730,3840,3940,4100,4300,4540,29560,29060,28940,30400,31210,30350,31090,31930,32520,33890,34370,46111.0,45878.0,43103.0,48455.0,48407.0,43777.0,47199.0,47077.0,50943.0,55006.0,61633
37,OR,277968.81,253679.8,239686.22,223073.39,221452.26,235126.53,250320.18,263755.52,286501.08,303051.66,320004.77,331074.8,264053.17,236779.75,227021.15,207190.94,212568.48,234425.53,247804.77,265118.2,293344.18,317185.97,339353.44,353861.88,3235.8,3192.08,3241.63,3175.17,3689.0,4202.92,4462.5,5560.58,5960.54,6000.92,5792.33,5492.9,0.02,0.04,0.03,0.03,0.02,0.01,0.02,0.03,0.03,0.02,0.02,0.01,3.9,3.9,4.0,3.8,3.8,3.62,3.43,3.42,3.36,3.38,3.37,6.57,11.26,10.61,9.5,8.83,7.88,6.77,5.58,4.81,4.12,4.13,4.15,2710,3090,3440,3720,4160,4460,4750,4980,5260,5430,5760,54210,52370,49850,50580,49530,48740,49010,49550,50690,53020,55090,51727.0,49098.0,50602.0,51526.0,51775.0,56307.0,58875.0,60834.0,59135.0,64610.0,54434
38,PA,194189.89,186586.36,182966.63,174480.96,170260.41,171315.46,173318.15,174424.32,175179.24,178905.05,185889.69,191196.27,195071.63,187483.98,194441.45,191336.75,187884.12,191293.24,193500.93,196546.21,200839.39,207138.88,215265.83,226449.22,11147.64,10152.6,9683.83,9424.33,10374.0,11777.5,12023.58,13557.75,14651.36,15445.75,15843.35,15655.31,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,2.7,2.7,2.7,2.8,2.8,2.68,2.66,2.62,2.64,2.56,2.61,5.32,8.05,8.43,7.93,7.83,7.34,5.88,5.28,5.39,4.88,4.29,3.97,3200,3600,3950,4290,4600,4890,5140,5350,5660,5910,6210,38560,38110,37470,39030,39370,38540,39110,39340,40320,41450,42440,51402.0,48172.0,48314.0,49910.0,51904.0,53952.0,55173.0,60389.0,60979.0,63173.0,69165
39,RI,329324.44,297156.94,290077.37,277716.72,266938.62,272297.74,279519.63,282854.61,294556.29,308268.46,324422.46,331355.29,239850.0,194741.67,209702.08,198717.23,205624.03,213687.8,221651.39,226968.4,239153.48,266645.0,282185.56,289426.38,693.2,756.58,748.58,768.08,722.0,815.42,807.58,872.83,1022.75,1350.15,1227.0,1231.47,0.03,0.04,0.03,0.01,0.0,0.0,0.01,0.02,0.02,0.02,0.02,0.01,2.7,3.0,3.2,3.2,3.2,3.15,2.84,2.99,2.84,2.89,2.91,7.81,10.98,11.2,11.03,10.39,9.27,7.69,6.0,5.19,4.42,4.06,3.67,2870,3200,3750,3600,4060,4410,4650,4780,4940,4910,5390,51930,49930,48380,49430,48330,46770,45710,46950,47390,48850,49940,53241.0,51634.0,51623.0,49033.0,56065.0,57812.0,58633.0,55701.0,61528.0,66390.0,64524
40,SC,170175.36,160558.89,154761.0,146826.76,143731.29,146112.06,150634.7,155673.89,164018.42,171550.69,181361.05,189245.63,164828.25,156301.85,152028.79,146480.06,149688.56,143289.92,147909.44,162577.27,181128.54,183993.79,197886.88,205253.38,3972.57,3447.42,3450.83,3453.42,3846.83,4747.67,4790.58,5898.4,7305.95,8250.03,8597.77,8776.78,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,2.8,3.0,3.1,3.2,3.2,3.19,2.93,2.77,2.52,2.62,2.53,6.85,11.23,11.13,10.54,9.2,7.62,6.46,5.97,5.03,4.27,3.41,3.14,2430,2820,3210,3500,4020,4290,4620,4870,5240,5500,5870,40260,39020,38000,39310,39290,38060,38530,38870,40420,42220,43880,42155.0,41101.0,41698.0,40084.0,44401.0,43749.0,44929.0,46360.0,54336.0,54971.0,62266
41,SD,156898.71,151443.45,146933.07,146182.58,144129.31,147029.15,149280.72,150171.48,150817.42,155152.63,162397.02,168786.35,217641.06,203441.64,203004.05,193804.81,197087.05,179030.0,185233.33,193196.03,194346.06,212909.23,226201.04,232561.93,180.9,201.67,192.17,224.0,287.75,417.42,370.75,327.08,384.25,421.0,426.83,404.63,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,3.1,3.3,3.4,3.3,3.0,2.9,2.78,2.62,2.78,2.69,2.57,3.1,4.93,4.98,4.73,4.27,3.78,3.41,3.1,2.98,3.18,3.01,2.92,3250,3450,3740,3950,4290,4250,4340,4710,4890,5020,5170,36980,36860,35900,38180,38820,36970,37330,38470,39470,41130,41880,51600.0,45826.0,45352.0,47223.0,49415.0,54453.0,53053.0,55065.0,57450.0,56894.0,57444
42,TN,131593.6,127362.25,125065.35,121793.27,121162.54,124482.44,128973.5,133698.52,141377.94,150917.9,160939.6,168817.13,162826.72,155411.08,155520.63,149438.88,147743.81,152017.22,155335.51,164097.28,176431.76,191547.13,205826.61,218740.15,7718.57,6973.78,6720.33,6200.62,7371.02,8283.42,8697.25,9569.62,10337.33,10585.87,10698.58,11302.78,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,4.2,3.9,4.2,4.3,4.2,4.13,3.8,3.69,3.76,3.55,3.51,6.63,10.46,9.63,8.97,7.83,7.73,6.6,5.6,4.73,3.75,3.49,3.34,2190,2460,2820,3090,3480,3770,4050,4190,4520,4760,5050,37990,36900,35600,36480,36420,35600,36350,37020,37670,39880,40370,39702.0,40517.0,38591.0,42279.0,42995.0,42499.0,43716.0,47330.0,51344.0,55240.0,59463
43,TX,146905.4,143781.68,142257.74,138610.35,139634.05,147456.3,157606.83,167257.1,176284.34,185057.71,194356.24,202165.05,179423.02,176780.56,180525.52,176073.74,181336.5,192460.88,203136.56,215521.23,224985.36,238527.19,251423.04,262126.39,22562.1,20599.75,20127.05,20186.47,22956.17,26994.67,28030.93,30666.93,32259.22,33710.38,35225.33,32915.7,0.04,0.04,0.05,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,3.3,3.3,3.3,3.2,3.0,2.89,2.7,2.59,2.6,2.25,2.58,4.83,7.57,8.13,7.76,6.74,6.25,5.12,4.43,4.63,4.33,3.85,3.55,2350,2680,2990,3240,3610,3740,4000,4180,4460,4700,4970,36720,36070,35040,35960,36410,35550,36770,38400,39740,41650,43660,46490.0,47475.0,47266.0,49047.0,51926.0,53027.0,53875.0,56473.0,58146.0,59295.0,56060
44,UT,231791.72,211118.05,199029.82,187460.28,187268.98,206697.63,214883.21,222939.47,237622.02,254587.57,277010.55,295576.03,220922.95,209062.5,200543.64,184363.48,196259.7,215564.65,223770.28,235122.65,253629.56,276173.08,305162.99,328099.65,2581.5,2508.29,2374.65,2525.22,2838.46,3247.75,3259.33,3804.01,4419.33,4886.75,4845.21,4648.14,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.0,0.0,3.8,3.7,3.7,3.7,3.3,3.1,3.08,3.56,3.59,3.44,3.77,3.58,7.32,7.83,6.75,5.4,4.59,3.82,3.6,3.43,3.26,3.13,2.81,2210,2500,2730,3030,3390,3470,3620,3870,4100,4230,4350,56700,54230,51760,52380,51180,50330,51120,52150,53410,56920,59320,62537.0,58491.0,56701.0,55493.0,58341.0,62967.0,63383.0,66258.0,67481.0,71319.0,59785
45,VA,255999.79,240361.18,236692.84,230402.52,228276.31,233481.81,237326.45,239143.27,242362.59,249300.92,257042.35,266200.3,300374.02,284089.71,295145.82,289890.28,285197.39,306871.14,306084.83,305992.1,303736.65,310073.94,322153.86,334251.98,6791.9,6815.77,6490.22,6370.5,6985.71,7842.75,7960.25,9307.96,10429.42,10801.67,10787.25,11727.32,0.02,0.04,0.05,0.05,0.05,0.04,0.03,0.03,0.04,0.03,0.03,0.02,3.8,3.7,3.8,3.8,3.7,3.56,3.48,3.3,3.37,3.04,3.08,3.96,6.68,7.13,6.59,6.06,5.7,5.23,4.46,4.1,3.7,2.98,2.82,2690,3070,3410,3690,4030,4320,4680,4850,5230,5550,5820,66970,64830,62250,63160,62620,61470,62230,62520,62970,65050,65480,50706.0,52318.0,55928.0,51862.0,55582.0,54842.0,60708.0,59494.0,60837.0,63805.0,77067
46,VT,217501.13,212238.7,213421.97,216194.95,216710.58,216755.74,215585.72,217010.57,216684.69,219704.99,226766.66,231897.41,217641.06,203441.64,203004.05,193804.81,197087.05,206815.91,215208.32,225775.55,235863.92,248622.67,264107.47,275997.65,331.7,331.0,477.92,535.33,671.92,747.58,754.75,832.83,879.75,908.33,910.58,807.6,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3.6,3.5,3.8,3.6,3.5,3.55,3.46,3.08,3.1,2.92,3.08,4.71,6.57,6.08,5.47,4.93,4.41,3.93,3.57,3.23,2.98,2.66,2.23,3780,3850,4070,4070,4400,4530,4850,5130,5250,5620,5480,41520,40910,40370,43360,43260,43000,43330,43520,44260,45120,45270,61985.0,60501.0,60367.0,62616.0,64632.0,67620.0,66155.0,61486.0,66451.0,71293.0,70066
47,WA,301549.57,274495.12,262043.95,241961.65,235502.21,252028.23,267069.01,286110.89,310317.6,339948.76,372878.54,384768.82,282413.48,279376.69,276374.1,252410.64,249188.82,270873.09,284307.16,305052.87,335174.45,379415.89,420331.21,439098.65,5253.3,5085.67,5176.17,5477.63,6274.75,7781.87,8049.33,9575.21,10406.35,10867.95,10201.33,9882.48,0.02,0.05,0.06,0.07,0.04,0.03,0.03,0.03,0.02,0.01,0.01,0.01,3.9,3.9,4.2,4.1,3.9,3.82,3.65,3.38,3.48,3.41,3.3,5.41,9.12,9.99,9.28,8.11,7.03,6.13,5.64,5.28,4.71,4.48,4.56,2300,2540,2820,3030,3380,3540,3710,3860,4030,4110,4270,65860,64030,61200,61270,60320,58050,58250,58370,59620,62560,65390,56631.0,60392.0,56163.0,56850.0,62187.0,60106.0,59068.0,67243.0,70310.0,75418.0,77151
48,WI,167285.19,162691.21,159014.69,152998.8,150166.31,154355.12,157832.08,161453.75,167181.79,176529.49,186793.08,195379.23,175676.4,158531.42,159815.47,157446.84,152364.82,154492.32,161295.02,168228.07,175044.04,185744.53,199949.2,209991.24,5363.7,4952.25,4721.89,4631.98,5579.88,6458.31,6531.53,7014.0,7751.67,8262.1,8144.6,8199.91,0.05,0.06,0.06,0.07,0.07,0.05,0.03,0.03,0.02,0.01,0.01,0.01,3.0,2.9,3.0,2.9,2.9,2.78,2.66,2.6,2.6,2.43,2.46,4.93,8.58,8.64,7.76,7.03,6.7,5.4,4.53,4.02,3.27,3.0,3.02,2530,2870,3240,3470,3860,4000,4230,4370,4580,4750,4850,39330,38420,36890,38070,37180,36930,37100,37680,38250,39120,40060,37994.0,40490.0,42777.0,41821.0,43553.0,40241.0,39552.0,42824.0,44354.0,45392.0,79726
49,WV,105932.95,102891.73,103329.65,98392.59,96010.12,95029.84,93818.41,88433.68,88496.26,88742.71,91196.16,93635.16,244500.0,195358.33,189866.67,168075.0,197383.33,164553.33,145977.5,147518.38,145403.33,151882.74,156077.94,165615.4,884.8,858.5,935.33,851.75,811.25,965.25,878.0,759.33,889.33,1084.26,1131.25,1048.68,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,4.8,5.1,5.1,5.2,4.7,4.59,4.2,3.98,3.76,3.48,3.25,4.37,7.71,8.63,8.06,7.49,6.79,6.63,6.74,6.08,5.19,5.23,4.87,2320,2580,2840,2990,3290,3490,3780,3800,3920,4070,4020,24750,23920,24160,25740,26490,26040,26770,27520,28040,28790,29430,51200.0,51237.0,50351.0,52058.0,53079.0,55258.0,58080.0,55425.0,59817.0,63451.0,50573
50,WY,199333.11,197224.55,205000.47,210557.32,219904.96,224617.72,229528.93,236976.38,243227.08,243749.28,251509.89,261648.46,177682.5,182788.33,172811.67,167108.33,180951.39,187134.72,200951.39,203044.44,202067.86,203350.52,205039.58,217065.23,464.2,407.17,399.92,432.92,484.5,519.0,517.33,526.25,506.33,602.5,690.25,693.02,0.01,0.01,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.03,4.9,5.1,5.1,4.8,4.4,4.26,4.6,4.15,4.2,3.96,3.75,3.07,6.33,6.45,5.79,5.31,4.72,4.13,4.33,5.33,4.18,4.08,3.71,2090,2270,2480,2770,3090,3160,3290,3290,3300,3270,3610,42580,42320,41180,41670,41940,41220,42150,44510,44380,46180,46410,53337.0,52470.0,52201.0,54509.0,57512.0,55700.0,55690.0,60925.0,57829.0,57837.0,62629
